a1,o(30),ex1(30),20(60),18(220),1(250),2(310),3(340),4(400),6(460),7(510),A17(545),d(545)
a2,o(283),ex1(283),20(313),18(473),1(503),2(563),A4(583),d(583)
a3,o(206),ex2(206),21(236),20(266),18(426),1(456),2(516),3(546),5(616),A12(646),d(646)
d1,o(150),A18(270),8(290),9(340),14(370),13(400),ey1(440),d(440)
d2,o(210),A11(330),5(360),6(430),7(480),14(550),13(610),ey1(650),d(650)
d3,o(270),A15(390),7(415),14(485),16(530),ey2(560),d(560)

