g1,1,20
g2,1,10
g3,1,10
g4,1,20
g5,3,20
g6,3,10
g7,3,20
g8,3,30
g9,3,40
g10,5,30
g11,5,30
g12,7,40
g13,7,30
g14,7,20
g15,7,10
g16,7,10
g17,8,20
g18,8,30
g19,8,30
g20,8,20
g21,9,20
g22,9,20
g23,11,20
g24,11,25
g25,11,25
g26,12,25
g27,12,20
g28,12,25
1,2,60
2,3,40
2,19,30
2,20,30
3,4,30
4,5,30
4,18,25
6,7,20
6,18,25
7,8,40
8,9,40
9,10,20
10,11,25
10,13,20
11,12,40
12,14,30
13,14,60
14,22,80
15,16,80
16,17,30
16,17,85
17,19,95
19,ey2,30
20,ey1,60
20,21,200
21,22,60
ex1,22,30
ex2,21,30
