g1,1,20
g2,1,10
g3,1,10
g4,1,20
g5,3,20
g6,3,10
g7,3,20
g8,3,30
g9,3,40
g10,5,30
g11,5,30
g12,7,40
g13,7,30
g14,7,20
g15,7,10
g16,7,10
g17,8,20
g18,8,30
g19,8,30
g20,8,20
g21,9,20
g22,9,20
g23,11,20
g24,11,25
g25,11,25
g26,12,25
g27,12,20
g28,12,25
g29,25,15
g30,25,10
g31,25,10
g32,25,15
g33,26,15
g34,26,15
g35,26,15
g36,26,15
g37,26,15
g38,26,15
g39,28,15
g40,28,10
g41,28,10
g42,28,15
g43,29,10
g44,29,15
g45,29,20
g46,29,20
g47,29,15
g48,29,10
g49,30,15
g50,30,10
g51,30,10
g52,30,15
g53,35,10
g54,35,10
g55,35,10
g56,35,10
g57,35,20
g58,35,15
g59,35,15
g60,34,15
g61,34,10
g62,34,10
g63,34,15
g64,36,15
g65,36,10
g66,36,10
g67,36,15
1,2,60
2,3,40
2,19,30
2,20,30
3,4,30
4,5,30
4,18,25
5,6,30
6,7,20
6,18,25
7,8,40
8,9,40
8,16,30
9,10,20
10,11,25
10,13,20
11,12,40
12,14,30
13,14,60
13,15,30
14,15,65
14,23,70
15,16,80
16,17,85
17,18,30
17,19,95
19,ey2,30
20,ey1,60
20,37,70
21,22,40
ex1,22,30
ex2,21,30
21,27,40
22,24,30
23,24,60
23,25,40
24,25,20
25,26,40
27,28,30
27,31,100
28,29,30
29,30,30
30,31,30
31,32,90
32,33,50
32,37,110
33,34,30
33,36,30
34,35,20
36,37,30
