a1,ex1,F58,60,heavy,0
a2,ex1,E11,180,jet,0
a3,ex1,A20,420,heavy,0
a4,ex1,B9,540,heavy,0
a5,ex1,A9,660,heavy,0
a6,ex1,A13,720,heavy,0
a7,ex1,A10,1680,jet,0
a8,ex2,A16,1920,medium,0
a9,ex2,A17,2820,medium,0
a10,ex1,E12,3180,heavy,0
a11,ex2,F50,3300,medium,0
a12,ex1,E26,3360,heavy,0
a13,ex2,E7,3540,medium,0
d1,F30,ey2,0,medium,120
d2,B7,ey1,120,heavy,120
d3,E1,ey2,360,medium,120
d4,202,ey1,420,heavy,120
d5,B8,ey2,600,medium,120
d6,F60,ey1,720,heavy,120
d7,203,ey2,840,medium,120
d8,A5,ey2,1140,medium,120
d9,E10,ey2,1200,medium,120
d10,A21,ey2,1380,medium,120
d11,F41,ey1,1560,heavy,120
d12,A11,ey2,1980,medium,120
d13,F56,ey1,2160,heavy,120
d14,B5,ey2,2280,medium,120
d15,A19,ey2,2340,medium,120
d16,F37,ey2,2400,medium,120
d17,F34,ey2,2520,medium,120
d18,A15,ey2,2580,medium,120
d19,A3,ey1,2700,heavy,120
d20,F33,ey1,2760,heavy,120
d21,B4,ey1,2880,heavy,120
d22,E28,ey2,3000,medium,120
d23,F31,ey1,3060,heavy,120
d24,E24,ey1,3120,heavy,120
d25,F36,ey2,3300,medium,120
d26,201,ey1,3420,heavy,120
d27,B1,ey2,3540,medium,120
