a1,ex1,200,120,heavy,0
a2,ex1,E11,420,heavy,0
a3,ex1,B7,540,heavy,0
a4,ex1,E28,600,heavy,0
a5,ex1,F35,720,heavy,0
a6,ex1,A9,840,heavy,0
a7,ex1,A13,1020,heavy,0
a8,ex2,F50,1140,medium,0
a9,ex1,A2,1500,jet,0
a10,ex2,B10,1620,medium,0
a11,ex1,B4,1980,heavy,0
a12,ex1,A10,2100,heavy,0
a13,ex2,A18,2280,medium,0
a14,ex1,E3,2460,heavy,0
a15,ex1,E5,2580,jet,0
a16,ex1,E20,2760,heavy,0
a17,ex1,B8,3180,heavy,0
a18,ex1,B3,3540,heavy,0
d1,E8,ey1,0,heavy,120
d2,E26,ey1,60,heavy,120
d3,F36,ey2,180,medium,120
d4,F56,ey1,300,heavy,120
d5,A1,ey1,360,heavy,120
d6,E4,ey2,480,medium,120
d7,F59,ey2,1140,medium,120
d8,A16,ey1,1200,heavy,120
d9,202,ey2,1380,medium,120
d10,F33,ey1,2040,heavy,120
d11,201,ey2,2160,medium,120
d12,B9,ey2,2220,medium,120
d13,B1,ey1,2280,heavy,120
d14,F40,ey2,2460,medium,120
d15,A3,ey2,2580,medium,120
d16,B5,ey1,2640,heavy,120
d17,A14,ey2,2760,medium,120
d18,E1,ey2,2820,medium,120
d19,F52,ey2,2940,medium,120
d20,A12,ey1,3000,heavy,120
d21,E2,ey2,3180,medium,120
d22,F30,ey2,3240,medium,120
d23,A5,ey1,3300,heavy,120
d24,F58,ey1,3420,heavy,120
d25,E24,ey2,3540,medium,120
