a1,ex2,E6,60,medium,0
a2,ex2,200,180,medium,0
a3,ex2,B4,180,medium,0
a4,ex2,F36,300,medium,0
a5,ex1,A15,420,heavy,0
a6,ex1,A20,540,heavy,0
a7,ex2,E28,600,medium,0
a8,ex2,E24,720,medium,0
a9,ex2,B6,900,medium,0
a10,ex2,E7,960,medium,0
a11,ex2,A16,1020,medium,0
a12,ex2,F37,1140,medium,0
a13,ex2,A13,1740,medium,0
a14,ex1,E12,1920,heavy,0
a15,ex2,E5,2040,medium,0
a16,ex1,E2,2100,jet,0
a17,ex1,F31,2280,heavy,0
a18,ex2,A4,2460,medium,0
a19,ex2,F59,2580,medium,0
a20,ex2,202,2760,medium,0
a21,ex2,F30,2820,medium,0
a22,ex1,E20,2940,heavy,0
a23,ex2,A17,3060,medium,0
a24,ex1,E26,3240,heavy,0
a25,ex2,B9,3420,medium,0
a26,ex2,B8,3480,medium,0
a27,ex2,A21,3600,medium,0
d1,A3,ey2,0,medium,120
d2,F42,ey1,120,heavy,120
d3,F35,ey1,300,heavy,120
d4,F33,ey1,360,heavy,120
d5,B3,ey2,480,medium,120
d6,A12,ey2,600,medium,120
d7,E11,ey2,660,medium,120
d8,A11,ey1,720,heavy,120
d9,F56,ey1,1020,heavy,120
d10,B2,ey2,1140,medium,120
d11,A5,ey2,1200,medium,120
d12,F41,ey2,1320,medium,120
d13,A1,ey2,1380,medium,120
d14,B10,ey1,1680,heavy,120
d15,B1,ey1,1800,heavy,120
d16,B7,ey1,1980,heavy,120
d17,203,ey2,2160,medium,120
d18,F60,ey2,2220,medium,120
d19,A2,ey2,2280,medium,120
d20,B5,ey2,2460,medium,120
d21,A19,ey1,2580,heavy,120
