a1,ex2,F56,0,medium,0
a2,ex1,A19,120,heavy,0
a3,ex2,A9,240,medium,0
a4,ex2,A17,300,medium,0
a5,ex2,E7,360,medium,0
a6,ex2,B3,540,medium,0
a7,ex2,F54,660,medium,0
a8,ex2,A11,720,medium,0
a9,ex2,F50,780,medium,0
a10,ex2,F30,900,medium,0
a11,ex2,E20,1140,medium,0
a12,ex2,A18,1320,medium,0
a13,ex2,E1,1380,medium,0
a14,ex2,200,1440,medium,0
a15,ex1,E12,1620,heavy,0
a16,ex2,203,1740,medium,0
a17,ex2,B6,1800,medium,0
a18,ex2,E26,1920,medium,0
a19,ex2,F33,2040,medium,0
a20,ex2,F52,2160,medium,0
a21,ex1,A21,2280,heavy,0
a22,ex1,A15,2400,heavy,0
a23,ex1,B7,2520,jet,0
a24,ex2,F37,2700,medium,0
a25,ex2,B9,2820,medium,0
a26,ex1,B8,2940,heavy,0
a27,ex1,E27,3000,heavy,0
a28,ex2,F36,3120,medium,0
a29,ex1,A10,3300,jet,0
a30,ex2,E4,3540,medium,0
d1,E2,ey1,60,heavy,120
d2,B5,ey2,180,medium,120
d3,B1,ey2,360,medium,120
d4,E3,ey2,600,medium,120
d5,E11,ey2,660,medium,120
d6,A12,ey1,1020,heavy,120
d7,F58,ey1,1200,heavy,120
d8,A1,ey2,1380,medium,120
d9,F34,ey2,1440,medium,120
d10,E24,ey1,1560,heavy,120
d11,202,ey2,1680,medium,120
d12,B2,ey1,1740,heavy,120
d13,A3,ey2,2220,medium,120
d14,B4,ey2,2340,medium,120
d15,A16,ey2,2400,medium,120
d16,A2,ey2,2460,medium,120
d17,B10,ey2,2580,medium,120
d18,A4,ey1,2640,heavy,120
